iata,name,country,continent,comment
5K,Hi Fly,Portugal,Europe,
5L,AeroSur,Bolivia,South America,
5M,Montserrat Airways,Montserrat,North America,
5N,Nordavia,Russia,Europe,
5O,Europe Airpost,France,Europe,
5P,Small Planet Airlines,Germany,Europe,defunct
5V,Lviv Airlines,Ukraine,Europe,
5X,United Parcel Service,United States,North America,
5Y,Atlas Air,United States,North America,
5Z,Airfreight Express,United Kingdom,Europe,Ceased operations 08/03/2002
6A,Aviacsa,Mexico,North America,
6B,TUI  fly Nordic,Sweden,Europe,
6D,Smartwings Slovakia,Slovakia,Europe,formerly named Travel Service Slovakia
6E,IndiGo,India,Asie,InterGlobe Aviation
6G,Go2Sky,Slovakia,Europe,
6H,Israir,Israel,Asie,
6I,International Business Air,Sweden,Europe,was U5
6J,Jubba Airways,Somalia,Africa,
6K,Asian Spirit,Philippines,Asie,
6N,Nordic Regional,Sweden,Europe,
6P,Club Air,Italy,Europe,
6Q,Slovak Airlines,Slovakia,Europe,
6R,Aerotransporte de Carga Union,Mexico,North America,
6U,Air Ukraine,Ukraine,Europe,
6V,Mars RK,Ukraine,Europe,
6W,Saratov Airlines Joint Stock Company,Russia,Europe,
6Y,Smartlynx Airlines,Latvia,Europe,
6Z,Ukrainian Cargo Airways,Ukraine,Europe,
7A,Express Air Cargo,Tunisia,Africa,
7B,Bees Airline,Ukraine,Europe,"Established 2019, started 2021."
7C,Coyne Aviation,United Kingdom,Europe,
7E,Sylt Air GmbH,Germany,Europe,
7F,Canadian North,Canada,North America,Air Norterra
7G,Star Flyer,Japan,Asie,
7H,Northern Pacific Airways,United States,North America,
7K,Kogalymavia Air Company,Russia,Europe,
7L,Silk Way West Airlines,Azerbaijan,Europe,
7M,Mayair,Mexico,North America,
7N,Pawa Dominicana,Dominican Republic,North America,
7O,Galaxy Air,Kyrgyzstan,Asie,
7R,BRA-Transportes Aéreos,Brazil,South America,
7S,Ryan Air Services,United States,North America,
7T,Air Glaciers,Switzerland,Europe,
7W,Windrose Air,Germany,Europe,
8B,Caribbean Star Airlines,Antigua and Barbuda,North America,
8C,Air Transport International,United States,North America,
8D,FitsAir,Sri Lanka,Asie,
8E,Bering Air,United States,North America,
8F,Fischer Air,Czech Republic,Europe,
8H,BH Air,Bulgaria,Europe,
8I,Myway Airlines,Italy,Europe,
8J,Komiinteravia,Russia,Europe,
8L,Cargo Plus Aviation,United Arab Emirates,Asie,
8M,Maxair,Sweden,Europe,
8N,Barents AirLink,Sweden,Europe,previously Nordkalottflyg
8O,West Coast Air,Canada,North America,
8P,Pacific Coastal Airlines,Canada,North America,
8Q,Onur Air,Turkey,Asie,
8Q*,Baker Aviation,United States,North America,
8S,Scorpio Aviation,,Europe,
8T,Air Tindi,Canada,North America,
8U,Afriqiyah Airways,Libya,Africa,
8V,Astral Aviation,Kenya,Africa,
8W,Fly All Ways,Suriname,South America,
8Y,Air Burundi,Burundi,Africa,
8Z,Wizz Air Bulgaria,Bulgaria,Europe,
9A,Eagle Express Air Charter,Malaysia,Asie,
9C,Spring Airlines,China,Asie,
9E,Endeavor Air,United States,North America,
9I,Air India Regional,India,Asie,
9K,Cape Air,United States,North America,
9L,AirTanker Services,United Kingdom,Europe,
9M,Central Mountain Air,Canada,North America,
9O,National Airways Cameroon,Cameroon,Africa,
9P,Fly Jinnah,Pakistan,Asie,
9Q,PB Air,Thailand,Asie,
9R,Phuket Air,Thailand,Asie,
