iata,name,city,country,continent,timezone
DLK,Dulkaninna Airport,Dulkaninna,Australia,Oceania,UTC+09:30
DLL,Dillon County Airport,Dillon,United States,North America,UTC−05:00
DLM,Dalaman Airport,Dalaman,Turkey,Asia,UTC+03:00
DLN,Dillon Airport,Dillon,United States,North America,UTC−07:00
DLS,Columbia Gorge Regional Airport,The Dalles,United States,North America,UTC−08:00
DLU,Dali Airport,Dali,China,Asia,UTC+08:00
DLV,Delissaville Airport,Delissaville,Australia,Oceania,UTC+09:30
DLY,Dillon's Bay Airport,Dillon's Bay,Vanuatu,Oceania,UTC+11:00
DLZ,Dalanzadgad Airport,Dalanzadgad,Mongolia,Asia,UTC+08:00
DMA,Davis–Monthan Air Force Base,Tucson,United States,North America,UTC−07:00
DMB,Taraz Airport,Taraz,Kazakhstan,Asia,UTC+06:00
DMD,Doomadgee Airport,Doomadgee,Australia,Oceania,UTC+10:00
DME,Domodedovo International Airport,Moscow,Russia,Asia,UTC+03:00
DMK,Don Mueang International Airport,Bangkok,Thailand,Asia,UTC+07:00
DMM,King Fahd International Airport,Dammam,Saudi Arabia,Asia,UTC+03:00
DMN,Deming Municipal Airport,Deming,United States,North America,UTC−07:00
DMO,Sedalia Regional Airport,Sedalia,United States,North America,UTC−06:00
DMR,Dhamar Airport,Dhamar,Yemen,Asia,UTC+03:00
DMT,Diamantino Airport,Diamantino,Brazil,South America,UTC−04:00
DMU,Dimapur Airport,Dimapur,India,Asia,UTC+05:30
DNA,Kadena Air Base,Kadena,Japan,Asia,UTC+09:00
DNB,Dunbar Airport,Dunbar,Australia,Oceania,UTC+10:00
DND,Dundee Airport,Dundee,United Kingdom,Europe,UTC±00:00
DNF,Martuba Air Base,Derna,Libya,Africa,UTC+02:00
DNG,Doongan Airport,Doongan,Australia,Oceania,UTC+08:00
DNH,Dunhuang Airport,Dunhuang,China,Asia,UTC+08:00
DNI,Wad Medani Airport,Wad Madani,Sudan,Africa,UTC+03:00
DNK,Dnipro International Airport,Dnipro,Ukraine,Europe,UTC+02:00
DNL,Daniel Field,Augusta,United States,North America,UTC−05:00
DNM,Denham Airport,Denham,Australia,Oceania,UTC+08:00
DNN,Dalton Municipal Airport,Dalton,United States,North America,UTC−05:00
DNO,Dianópolis Airport,Dianópolis,Brazil,South America,UTC−03:00
DNP,Tribhuvannagar Airport,Tribhuwannagar,Nepal,Asia,UTC+05:45
DNQ,Deniliquin Airport,Deniliquin,Australia,Oceania,UTC+10:00
DNR,Dinard–Pleurtuit–Saint-Malo Airport,Dinard,France,Europe,UTC+01:00
DNS,Denison Municipal Airport,Denison,United States,North America,UTC−06:00
